TRANSACTION_ID;TX_DATETIME;CUSTOMER_ID;TERMINAL_ID;TX_AMOUNT;TX_TIME_SECONDS;TX_TIME_DAYS;TX_FRAUD;TX_FRAUD_SCENARIO
0;2024-12-30 00:07:56;2;38;146.0;476;0;0;0
1;2024-12-30 00:30:05;360;212;92.74;1805;0;0;0
2;2024-12-30 00:32:35;183;153;39.3;1955;0;0;0
3;2024-12-30 00:43:59;382;105;15.35;2639;0;0;0
4;2024-12-30 00:45:51;381;179;23.15;2751;0;0;0
5;2024-12-30 00:57:25;426;80;82.58;3445;0;0;0
6;2024-12-30 01:11:00;8;115;2.08;4260;0;0;0
7;2024-12-30 01:25:06;447;59;91.8;5106;0;0;0
8;2024-12-30 01:26:30;408;60;23.41;5190;0;0;0
9;2024-12-30 01:38:25;230;257;18.93;5905;0;0;0
10;2024-12-30 01:55:28;474;18;10.67;6928;0;0;0
11;2024-12-30 01:56:23;398;180;8.8;6983;0;0;0
12;2024-12-30 01:56:44;55;63;35.06;7004;0;0;0
13;2024-12-30 01:59:15;159;82;54.22;7155;0;0;0
14;2024-12-30 02:13:54;354;55;22.84;8034;0;0;0
15;2024-12-30 02:17:26;220;88;110.42;8246;0;0;0
16;2024-12-30 02:20:28;423;218;30.29;8428;0;0;0
17;2024-12-30 02:22:02;447;279;94.1;8522;0;0;0
18;2024-12-30 02:24:40;30;178;171.78;8680;0;0;0
19;2024-12-30 02:27:04;340;131;31.55;8824;0;0;0
20;2024-12-30 02:28:17;497;197;28.96;8897;0;0;0
21;2024-12-30 02:28:17;270;295;10.78;8897;0;0;0
22;2024-12-30 02:30:00;358;135;74.36;9000;0;0;0
23;2024-12-30 02:33:41;177;230;24.14;9221;0;0;0
24;2024-12-30 02:35:44;286;123;19.79;9344;0;0;0
25;2024-12-30 02:35:58;340;18;10.24;9358;0;0;0
26;2024-12-30 02:36:35;139;152;119.38;9395;0;0;0
27;2024-12-30 02:37:22;204;15;73.44;9442;0;0;0
28;2024-12-30 02:43:34;59;134;40.21;9814;0;0;0
29;2024-12-30 02:47:11;128;175;96.68;10031;0;0;0
30;2024-12-30 02:55:03;458;168;6.45;10503;0;0;0
31;2024-12-30 02:57:37;418;138;175.25;10657;0;0;0
32;2024-12-30 03:00:01;53;244;2.32;10801;0;0;0
33;2024-12-30 03:07:18;36;69;12.36;11238;0;0;0
34;2024-12-30 03:12:11;77;174;87.99;11531;0;0;0
35;2024-12-30 03:21:54;249;94;35.61;12114;0;0;0
36;2024-12-30 03:22:53;81;166;83.99;12173;0;0;0
37;2024-12-30 03:25:24;461;175;52.19;12324;0;0;0
38;2024-12-30 03:37:49;261;30;118.23;13069;0;0;0
39;2024-12-30 03:40:23;354;9;26.61;13223;0;0;0
40;2024-12-30 03:41:00;67;123;125.0;13260;0;0;0
41;2024-12-30 03:41:32;454;74;21.37;13292;0;0;0
42;2024-12-30 03:42:06;98;120;1.71;13326;0;0;0
43;2024-12-30 03:44:19;111;138;63.71;13459;0;0;0
44;2024-12-30 03:46:29;380;99;73.0;13589;0;0;0
45;2024-12-30 03:49:27;423;237;15.74;13767;0;0;0
46;2024-12-30 03:51:40;204;152;101.18;13900;0;0;0
47;2024-12-30 03:56:21;200;7;85.63;14181;0;0;0
48;2024-12-30 03:56:36;356;251;34.76;14196;0;0;0
49;2024-12-30 03:58:06;284;137;39.33;14286;0;0;0
50;2024-12-30 03:59:09;395;150;45.94;14349;0;0;0
51;2024-12-30 03:59:19;161;251;76.2;14359;0;0;0
52;2024-12-30 04:00:12;38;225;11.13;14412;0;0;0
53;2024-12-30 04:00:50;495;56;43.42;14450;0;0;0
54;2024-12-30 04:00:55;440;112;13.16;14455;0;0;0
55;2024-12-30 04:01:52;345;167;113.14;14512;0;0;0
56;2024-12-30 04:06:08;35;232;65.09;14768;0;0;0
57;2024-12-30 04:08:36;382;202;5.05;14916;0;0;0
58;2024-12-30 04:10:20;471;218;5.1;15020;0;0;0
59;2024-12-30 04:10:58;131;1;46.95;15058;0;0;0
60;2024-12-30 04:11:30;247;159;10.8;15090;0;0;0
61;2024-12-30 04:17:03;418;138;110.97;15423;0;0;0
62;2024-12-30 04:17:19;476;241;41.69;15439;0;0;0
63;2024-12-30 04:18:34;356;192;124.43;15514;0;0;0
64;2024-12-30 04:19:34;183;47;64.92;15574;0;0;0
65;2024-12-30 04:20:48;36;39;16.18;15648;0;0;0
66;2024-12-30 04:21:55;186;220;53.31;15715;0;0;0
67;2024-12-30 04:22:03;410;110;80.97;15723;0;0;0
68;2024-12-30 04:22:37;162;279;54.81;15757;0;0;0
69;2024-12-30 04:24:01;318;292;61.42;15841;0;0;0
70;2024-12-30 04:24:09;388;217;22.04;15849;0;0;0
71;2024-12-30 04:26:13;148;33;42.91;15973;0;0;0
72;2024-12-30 04:27:51;424;239;4.3;16071;0;0;0
73;2024-12-30 04:31:00;28;291;84.23;16260;0;0;0
74;2024-12-30 04:34:01;255;225;67.37;16441;0;0;0
75;2024-12-30 04:34:54;322;187;41.56;16494;0;0;0
76;2024-12-30 04:37:03;69;20;60.86;16623;0;0;0
77;2024-12-30 04:39:10;316;261;80.32;16750;0;0;0
78;2024-12-30 04:40:02;120;89;23.42;16802;0;0;0
79;2024-12-30 04:43:00;139;152;70.87;16980;0;0;0
80;2024-12-30 04:43:14;303;174;55.83;16994;0;0;0
81;2024-12-30 04:45:06;114;59;27.86;17106;0;0;0
82;2024-12-30 04:47:00;349;259;129.55;17220;0;0;0
83;2024-12-30 04:47:24;157;148;14.93;17244;0;0;0
84;2024-12-30 04:49:17;167;131;24.29;17357;0;0;0
85;2024-12-30 04:49:26;67;22;72.81;17366;0;0;0
86;2024-12-30 04:51:07;212;4;58.71;17467;0;0;0
87;2024-12-30 04:54:55;140;28;116.7;17695;0;0;0
