TRANSACTION_ID;TX_DATETIME;CUSTOMER_ID;TERMINAL_ID;TX_AMOUNT;TX_TIME_SECONDS;TX_TIME_DAYS;TX_FRAUD;TX_FRAUD_SCENARIO
0;2018-04-01 00:00:31;596;110;57.16;31;0;0;0
1;2018-04-01 00:07:56;2;316;146.0;476;0;0;0
2;2018-04-01 00:10:34;927;415;50.99;634;0;0;0
3;2018-04-01 00:10:45;568;400;44.71;645;0;0;0
4;2018-04-01 00:13:44;541;171;59.07;824;0;0;0
5;2018-04-01 00:25:24;508;477;139.45;1524;0;0;0
6;2018-04-01 00:27:27;967;407;74.32;1647;0;0;0
7;2018-04-01 00:28:07;616;393;12.18;1687;0;0;0
8;2018-04-01 00:30:05;360;184;92.74;1805;0;0;0
9;2018-04-01 00:32:35;183;319;39.3;1955;0;0;0
10;2018-04-01 00:36:39;855;113;78.32;2199;0;0;0
11;2018-04-01 00:40:12;935;465;8.37;2412;0;0;0
12;2018-04-01 00:43:59;382;202;15.35;2639;0;0;0
13;2018-04-01 00:45:51;381;223;23.15;2751;0;0;0
14;2018-04-01 00:51:21;712;478;20.25;3081;0;0;0
15;2018-04-01 00:57:10;975;184;16.56;3430;0;0;0
16;2018-04-01 00:57:25;426;275;82.58;3445;0;0;0
17;2018-04-01 01:00:17;893;244;4.94;3617;0;0;0
18;2018-04-01 01:11:00;8;46;2.08;4260;0;0;0
19;2018-04-01 01:11:16;786;12;46.77;4276;0;0;0
20;2018-04-01 01:11:32;535;384;5.83;4292;0;0;0
21;2018-04-01 01:20:57;655;49;96.89;4857;0;0;0
22;2018-04-01 01:25:06;447;329;91.8;5106;0;0;0
23;2018-04-01 01:26:30;408;60;23.41;5190;0;0;0
24;2018-04-01 01:28:30;973;209;47.74;5310;0;0;0
25;2018-04-01 01:32:39;724;395;90.91;5559;0;0;0
26;2018-04-01 01:38:24;524;349;97.85;5904;0;0;0
27;2018-04-01 01:38:25;230;33;18.93;5905;0;0;0
28;2018-04-01 01:54:28;955;25;40.17;6868;0;0;0
29;2018-04-01 01:54:50;569;215;88.55;6890;0;0;0
30;2018-04-01 01:55:28;474;18;10.67;6928;0;0;0
31;2018-04-01 01:56:23;398;153;8.8;6983;0;0;0
32;2018-04-01 01:56:44;55;81;35.06;7004;0;0;0
33;2018-04-01 01:57:21;850;427;86.04;7041;0;0;0
34;2018-04-01 01:59:15;159;470;54.22;7155;0;0;0
35;2018-04-01 02:00:26;531;316;49.68;7226;0;0;0
36;2018-04-01 02:00:54;865;462;42.46;7254;0;0;0
37;2018-04-01 02:07:55;749;496;151.75;7675;0;0;0
38;2018-04-01 02:09:22;819;117;75.38;7762;0;0;0
39;2018-04-01 02:09:51;825;180;83.55;7791;0;0;0
40;2018-04-01 02:13:54;354;106;22.84;8034;0;0;0
41;2018-04-01 02:17:26;220;291;110.42;8246;0;0;0
42;2018-04-01 02:18:04;953;209;17.3;8284;0;0;0
43;2018-04-01 02:20:28;423;35;30.29;8428;0;0;0
44;2018-04-01 02:22:02;447;326;94.1;8522;0;0;0
45;2018-04-01 02:24:16;851;315;29.43;8656;0;0;0
46;2018-04-01 02:24:40;30;276;171.78;8680;0;0;0
47;2018-04-01 02:25:21;671;200;7.72;8721;0;0;0
48;2018-04-01 02:26:38;574;395;58.26;8798;0;0;0
49;2018-04-01 02:27:04;340;341;31.55;8824;0;0;0
50;2018-04-01 02:28:17;497;113;28.96;8897;0;0;0
51;2018-04-01 02:28:17;270;471;10.78;8897;0;0;0
52;2018-04-01 02:29:54;988;80;80.62;8994;0;0;0
53;2018-04-01 02:30:00;358;135;74.36;9000;0;0;0
54;2018-04-01 02:30:25;758;256;13.69;9025;0;0;0
55;2018-04-01 02:34:30;881;331;17.33;9270;0;0;0
56;2018-04-01 02:34:59;863;328;135.33;9299;0;0;0
57;2018-04-01 02:35:44;286;204;19.79;9344;0;0;0
58;2018-04-01 02:35:49;865;462;20.26;9349;0;0;0
59;2018-04-01 02:35:58;340;96;10.24;9358;0;0;0
60;2018-04-01 02:36:35;139;445;119.38;9395;0;0;0
61;2018-04-01 02:36:40;632;443;33.43;9400;0;0;0
62;2018-04-01 02:37:22;204;138;73.44;9442;0;0;0
63;2018-04-01 02:42:44;884;326;46.13;9764;0;0;0
64;2018-04-01 02:42:52;856;2;34.44;9772;0;0;0
65;2018-04-01 02:43:34;59;102;40.21;9814;0;0;0
66;2018-04-01 02:47:11;128;439;96.68;10031;0;0;0
67;2018-04-01 02:54:36;563;426;74.29;10476;0;0;0
68;2018-04-01 02:55:03;458;421;6.45;10503;0;0;0
69;2018-04-01 02:56:14;517;206;44.06;10574;0;0;0
70;2018-04-01 02:58:09;528;229;95.49;10689;0;0;0
71;2018-04-01 03:00:01;53;410;2.32;10801;0;0;0
72;2018-04-01 03:00:54;842;354;8.84;10854;0;0;0
73;2018-04-01 03:04:19;576;331;146.32;11059;0;0;0
74;2018-04-01 03:07:18;36;175;12.36;11238;0;0;0
75;2018-04-01 03:09:12;540;499;56.79;11352;0;0;0
76;2018-04-01 03:10:05;930;435;9.25;11405;0;0;0
77;2018-04-01 03:16:25;555;252;5.15;11785;0;0;0
78;2018-04-01 03:18:32;684;381;48.97;11912;0;0;0
79;2018-04-01 03:21:54;249;94;35.61;12114;0;0;0
80;2018-04-01 03:22:53;81;445;83.99;12173;0;0;0
81;2018-04-01 03:23:09;776;268;57.91;12189;0;0;0
82;2018-04-01 03:25:24;461;341;52.19;12324;0;0;0
83;2018-04-01 03:30:42;889;428;10.89;12642;0;0;0
84;2018-04-01 03:35:19;721;213;16.27;12919;0;0;0
85;2018-04-01 03:37:49;261;405;118.23;13069;0;0;0
86;2018-04-01 03:38:04;786;494;16.37;13084;0;0;0
87;2018-04-01 03:39:01;842;0;9.18;13141;0;0;0
88;2018-04-01 03:40:23;354;106;26.61;13223;0;0;0
89;2018-04-01 03:41:00;67;194;125.0;13260;0;0;0
90;2018-04-01 03:41:12;891;455;84.67;13272;0;0;0
91;2018-04-01 03:41:32;454;454;21.37;13292;0;0;0
92;2018-04-01 03:42:06;98;374;1.71;13326;0;0;0
93;2018-04-01 03:44:19;111;3;63.71;13459;0;0;0
94;2018-04-01 03:46:29;380;124;73.0;13589;0;0;0
95;2018-04-01 03:49:27;423;35;15.74;13767;0;0;0
96;2018-04-01 03:50:28;532;289;6.43;13828;0;0;0
97;2018-04-01 03:51:40;204;298;101.18;13900;0;0;0
98;2018-04-01 03:53:02;635;367;1.93;13982;0;0;0
99;2018-04-01 03:54:58;979;423;43.71;14098;0;0;0
100;2018-04-01 03:56:21;200;7;85.63;14181;0;0;0
101;2018-04-01 03:56:36;356;473;34.76;14196;0;0;0
102;2018-04-01 03:57:45;873;90;7.82;14265;0;1;2
103;2018-04-01 03:58:06;284;56;39.33;14286;0;0;0
104;2018-04-01 03:59:09;395;150;45.94;14349;0;0;0
105;2018-04-01 03:59:19;161;325;76.2;14359;0;0;0
106;2018-04-01 03:59:34;792;431;120.88;14374;0;0;0
107;2018-04-01 04:00:12;38;429;11.13;14412;0;0;0
108;2018-04-01 04:00:50;495;56;43.42;14450;0;0;0
109;2018-04-01 04:00:55;440;42;13.16;14455;0;0;0
110;2018-04-01 04:01:00;870;265;98.8;14460;0;0;0
111;2018-04-01 04:04:29;818;417;26.77;14669;0;0;0
112;2018-04-01 04:05:19;803;15;73.98;14719;0;0;0
113;2018-04-01 04:06:08;35;406;65.09;14768;0;0;0
114;2018-04-01 04:07:19;769;89;34.19;14839;0;0;0
115;2018-04-01 04:07:58;795;350;33.76;14878;0;0;0
116;2018-04-01 04:08:36;382;283;5.05;14916;0;0;0
117;2018-04-01 04:10:20;471;35;5.1;15020;0;0;0
118;2018-04-01 04:10:27;632;66;29.48;15027;0;0;0
119;2018-04-01 04:10:58;131;474;46.95;15058;0;0;0
120;2018-04-01 04:11:30;247;332;10.8;15090;0;0;0
121;2018-04-01 04:13:33;888;254;51.37;15213;0;1;2
122;2018-04-01 04:16:18;818;285;95.04;15378;0;0;0
123;2018-04-01 04:17:19;476;241;41.69;15439;0;0;0
124;2018-04-01 04:18:34;356;473;124.43;15514;0;0;0
125;2018-04-01 04:19:34;183;47;64.92;15574;0;0;0
126;2018-04-01 04:20:48;36;175;16.18;15648;0;0;0
127;2018-04-01 04:21:55;186;437;53.31;15715;0;0;0
128;2018-04-01 04:22:03;410;138;80.97;15723;0;0;0
129;2018-04-01 04:22:37;162;363;54.81;15757;0;0;0
130;2018-04-01 04:24:01;318;442;61.42;15841;0;0;0
131;2018-04-01 04:24:09;388;373;22.04;15849;0;0;0
132;2018-04-01 04:25:58;658;193;42.79;15958;0;0;0
133;2018-04-01 04:26:13;148;367;42.91;15973;0;0;0
134;2018-04-01 04:27:51;424;331;4.3;16071;0;0;0
135;2018-04-01 04:29:24;632;493;22.05;16164;0;0;0
136;2018-04-01 04:31:00;28;88;84.23;16260;0;0;0
137;2018-04-01 04:33:57;597;80;36.06;16437;0;0;0
138;2018-04-01 04:34:01;255;403;67.37;16441;0;0;0
